design_id,stage,estimand,outcome,horizon_days,n_treated,n_control,treated_value,control_value,effect,ci95_low,ci95_high,sensitivity_value,decision,claim_boundary,source_artifact
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D0_naive,Full-sample Telegram graduation difference,graduated,,20270,812671,0.01484953132708436,0.0016611888451784301,0.01318834248190593,,,,strong_unadjusted_association,Unadjusted association; do not interpret as causal.,RED-PUMP token outcomes
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D1_coarsened_exact_match,ATT for Telegram-present launch metadata among supported exact-match cells,graduated,,20227,586581,0.014732782913926929,0.0052842533321083955,0.009448529581818533,0.00731777876508777,0.011633575634213326,0.0011574862879867901,credible_matched_association_not_causal,"Matched on launch day, Twitter, website, initial-market-cap decile, and description bin. Residual creator quality and off-platform promotion confounding can remain.",artifacts/tables/telegram_mirror_matched_cells.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D2_timing_gate,Share of supported Telegram cohort with metadata observed before terminal outcome,metadata_pre_outcome,,20227,586581,0.9804222079398823,0.9871190473056406,,,,,passes_metadata_before_outcome_timing_gate,Timing gate verifies launch metadata precedes terminal outcomes; it does not prove exogenous Telegram attention.,RED-PUMP created_at and terminal_outcome_at
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D3_sensitivity,Approximate E-value for matched graduation risk ratio,graduated,,20227,586581,0.014732782913926929,0.0052842533321083955,2.788053862672895,,,5.020807874760289,large_unobserved_confounding_needed_on_rr_scale,"E-value is a sensitivity diagnostic for association robustness, not a causal identification proof.",artifacts/tables/telegram_mirror_design.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D6a_immediate_5m_placebo_like_check,Matched ATT for graduation within 5 minutes of launch,graduated_within_5m,,20227,812671,0.014732782913926929,0.0052842533321083955,0.009448529581818533,0.00731777876508777,0.011633575634213326,0.0011574862879867901,immediate_outcome_confounding_risk_check,A large immediate effect is too fast for a clean Telegram attention mechanism and flags residual project-quality confounding.,"RED-PUMP created_at, terminal_outcome_at, and launch metadata"
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D6b_immediate_15m_placebo_like_check,Matched ATT for graduation within 15 minutes of launch,graduated_within_15m,,20227,812671,0.014732782913926929,0.0052842533321083955,0.009448529581818533,0.00731777876508777,0.011633575634213326,0.0011574862879867901,immediate_outcome_confounding_risk_check,A large immediate effect is too fast for a clean Telegram attention mechanism and flags residual project-quality confounding.,"RED-PUMP created_at, terminal_outcome_at, and launch metadata"
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D6c_early_60m_timing_check,Matched ATT for graduation within 60 minutes of launch,graduated_within_60m,,20227,812671,0.014732782913926929,0.0052842533321083955,0.009448529581818533,0.00731777876508777,0.011633575634213326,0.0011574862879867901,early_outcome_timing_check,"Early outcomes are compatible with launch-time attention, but still cannot separate Telegram exposure from pre-existing project quality.","RED-PUMP created_at, terminal_outcome_at, and launch metadata"
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D6d_delayed_after_60m_timing_check,Matched ATT for graduation after 60 minutes of launch,graduated_after_60m,,20227,812671,0.0,0.0,0.0,0.0,0.0,0.0,delayed_outcome_timing_check,"Delayed outcomes are more mechanism-compatible than immediate outcomes, but still observational.","RED-PUMP created_at, terminal_outcome_at, and launch metadata"
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D7_negative_control_detection_lag,Matched difference in data-collection detection lag,detection_lag_min,,19107,763871,0.5888747579421154,0.5843550782723039,0.004519679669811483,-0.004497568837108937,0.01396758136808654,0.004818223913222823,negative_control_diagnostic,Detection lag should not be affected by Telegram metadata; imbalance here indicates remaining measurement or source-selection differences.,"RED-PUMP created_at, terminal_outcome_at, and launch metadata"
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: active_1d,active_1d,1,301,1350,1.0,1.0,0.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
