event_date,offset_days_from_baseline,window_days,estimate,std_error,ci95_low,ci95_high,p_value,worked_decision,n_rows,n_units,n_dates,stress_test,interpretation
2025-03-13,-7,60,0.955507685065115,0.23938803678245682,0.4863071329714996,1.4247082371587303,6.566786768020376e-05,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-14,-6,60,1.0726875956858815,0.18493115052534737,0.7102225406562006,1.4351526507155623,6.6129293976163004e-09,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-15,-5,60,1.0918442864391096,0.18280332640640942,0.7335497666825471,1.450138806195672,2.332425101228039e-09,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-16,-4,60,1.10285847993816,0.18050731266776993,0.7490641471093309,1.456652812766989,9.977372963388902e-10,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-17,-3,60,1.226376147812907,0.09131060430930732,1.0474073633666645,1.4053449322591494,3.989774607624879e-41,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-18,-2,60,1.252901691906012,0.08597047675125442,1.0843995574735534,1.4214038263384707,4.1334741605202125e-48,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-19,-1,60,1.2382219394932794,0.08378524165244927,1.074002865854479,1.40244101313208,2.0154387877083175e-49,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-20,0,60,1.2163299189845644,0.07794423021767773,1.063559227757916,1.3691006102112129,6.71717697921962e-55,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-21,1,60,1.1927594460390973,0.07436044758684103,1.047012968768889,1.3385059233093057,6.689504798562803e-58,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-22,2,60,1.1796865284069065,0.07190646408802,1.0387498587943873,1.3206231980194256,1.7368422662829164e-60,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-23,3,60,1.1553033017967118,0.07276883209589406,1.0126763908887595,1.2979302127046641,9.240415714806843e-57,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-24,4,60,1.1211059556213927,0.07420761005332954,0.9756590399168668,1.2665528713259186,1.4409208962420856e-51,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-25,5,60,1.0933988742228637,0.0762632233712226,0.9439229564152675,1.24287479203046,1.2817472705083696e-46,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-26,6,60,1.070311386265295,0.07819133025274914,0.9170563789699068,1.2235663935606835,1.1916215354204308e-42,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
2025-03-27,7,60,1.0552958879459726,0.07944073967808021,0.8995920381769353,1.21099973771501,2.864166510390264e-40,yes,484,4,121,event_date_sensitivity,"Positive under this event-date choice, but still evaluated only as market-level diagnostic evidence."
